Method Name,Length (Words),Grammatical Structure,Verb Phrase,Full Words,Camel Case,Underscore Case
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exec,1,True,True,True,True,False
exports,1,True,False,True,True,False
assetsPath,2,True,False,True,True,False
generateLoaders,2,True,True,True,True,False
cssLoaders,2,False,False,True,True,False
styleLoaders,2,True,False,True,True,False
createNotifierCallback,3,True,True,True,True,False
resolve,1,True,True,True,True,False
open,1,True,True,True,True,False
incoming,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
exports,1,True,False,True,True,False
